,Stock,Total_Return,Total_Years,Start_Date,End_Date
22,INTC,17.133165829145728,7.9808350444900755,1972-01-07,1979-12-31
4,BA,4.4441808356399095,9.99315537303217,1970-01-02,1979-12-31
31,MO,3.6771689497716893,9.99315537303217,1970-01-02,1979-12-31
28,LMT,2.723876556578235,2.9897330595482545,1977-01-03,1979-12-31
38,UTX,2.6834828560894683,9.99315537303217,1970-01-02,1979-12-31
10,CVX,2.3294053907625627,9.99315537303217,1970-01-02,1979-12-31
19,HON,2.2254828426776676,9.99315537303217,1970-01-02,1979-12-31
29,MCD,2.057025901616204,9.99315537303217,1970-01-02,1979-12-31
16,GD,1.9166565570787333,2.9897330595482545,1977-01-03,1979-12-31
39,WMT,1.748457243608581,7.780971937029432,1972-03-20,1979-12-31
34,NAV,1.3617339312406578,9.99315537303217,1970-01-02,1979-12-31
20,HPQ,1.3129918046168416,9.99315537303217,1970-01-02,1979-12-31
21,IBM,1.1199785414497145,17.99315537303217,1962-01-02,1979-12-31
14,ED,1.0678109863619114,9.99315537303217,1970-01-02,1979-12-31
7,CAT,0.9733007126901392,9.99315537303217,1970-01-02,1979-12-31
27,KR,0.7991718426501035,2.9897330595482545,1977-01-03,1979-12-31
41,XOM,0.7988988115221916,9.99315537303217,1970-01-02,1979-12-31
2,AET,0.6780399274047187,2.9897330595482545,1977-01-03,1979-12-31
0,AA,0.6451332056416506,9.99315537303217,1970-01-02,1979-12-31
32,MRK,0.6348169788623477,9.99315537303217,1970-01-02,1979-12-31
23,IP,0.554847266193206,9.99315537303217,1970-01-02,1979-12-31
12,DTE,0.4627282491944144,9.99315537303217,1970-01-02,1979-12-31
24,JNJ,0.45177579532065326,9.99315537303217,1970-01-02,1979-12-31
11,DIS,0.38566487317448117,9.99315537303217,1970-01-02,1979-12-31
17,GE,0.36348975971617487,17.99315537303217,1962-01-02,1979-12-31
36,PG,0.35880422894640907,9.99315537303217,1970-01-02,1979-12-31
1,AEP,0.33344208809135395,9.99315537303217,1970-01-02,1979-12-31
9,CNP,0.27061335864278085,9.99315537303217,1970-01-02,1979-12-31
5,BMY,0.22790565501562943,2.9897330595482545,1977-01-03,1979-12-31
30,MMM,0.17254431314623345,9.99315537303217,1970-01-02,1979-12-31
42,XRX,0.0775021171157043,2.9897330595482545,1977-01-03,1979-12-31
